Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,Women's Strawweight,Women's Flyweight,Women's Bantamweight,
Shannon Ross,Brad Katona,Hakeem Dawodu,Esteban Ribovics,Oban Elliott,Abdul Razak Alhassan,Chris Daukaus,Rizvan Kuniev,Shauna Bannon,Tereza Bleda,,
Vinicius Salvador,Farid Basharat,Daniel Pineda,Daniel Zellhuber,Preston Parsons,Albert Duraev,Bruno Lopes,Alvin Hines,Josefine Knutsson,Ketlen Souza,,
Mateus Mendonca,Javid Basharat,Melsik Baghdasaryan,Francisco Prado,Mike Malott,Chidi Njokuani,Magomed Gadzhiyasulov,Marcus Buchecha,Marnic Mann,Ivana Petrovic,,
Felipe Bunes,Quang Le,Tucker Lutz,Ottman Azaitar,Charles Radtke,Sedriques Dumas,Brendson Ribeiro,,Stephanie Luciano,Liang Na,,
Igor Severino,Gaston Bolanos,Ricky Glenn,Chris Padilla,Matthew Semelsberger,Abu Azaitar,Navajo Stirling,,Puja Tomar,Ernesta Kareckaite,,
Mitch Raposo,Nate Maness,Charles Jourdain,Jai Herbert,Andre Fialho,Trevin Giles,Tuco Tokkos,,Alice Ardelean,Carli Judice,,
Jose Johnson,Elijah Smith,Clay Guida,Uros Medic,Miguel Baeza,Jake Collier,Ivan Erslan,,Rayanne dos Santos,Fatima Kline,,
Stewart Nicoll,Raul Rosas Jr.,Charles Oliveira,Terrance McKinney,Trey Waters,Warlley Alves,Julius Walker,,Shi Ming,Nicolle Caliari,,
Lucas Rocha,Vince Morales,Kamuela Kirk,Jordan Leavitt,Sam Patterson,Devin Clark,Rafael Cerqueira,,Feng Xiaocan,Bruna Brasil,,
Nyamjargal Tumendemberel,Matheus Nicolau,Jack Shore,Jake Matthews,Danny Barlow,Rodolfo Vieira,Caio Machado,,,Yuneisy Duben,,
DongHun Choi,Cody Durden,Gabriel Benitez,Mason Jones,Islam Dulatov,Punahele Soriano,Ozzy Diaz,,,,,
Kiru Sahota,Matt Schnell,Rani Yahya,Jeremy Stephens,Adam Fugitt,Armen Petrosyan,Diyar Nurgozhay,,,,,
